	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)
	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.03)	(0.03)	(0.03)	(0.03)	(0.01)	(0.01)	(0.01)	(0.01)*	(0.03)*	(0.03)*	(0.03)*	(0.03)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)***	(0.01)***	(0.01)***	(0.01)***	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.03)	(0.03)	(0.03)	(0.03)	(0.01)	(0.01)	(0.01)	(0.01)*	(0.03)*	(0.03)*	(0.03)*	(0.03)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)***	(0.01)***	(0.01)***	(0.01)***
sibling_r2	0.01	0.01	0.00	0.00	-0.00	-0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	-0.00	-0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.02	-0.00	-0.00	-0.00	-0.00	-0.02	-0.02	-0.02	-0.01	0.01	0.01	0.01	0.01	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.01	0.01	0.00	0.00	-0.00	-0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	-0.00	-0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.02	-0.00	-0.00	-0.00	-0.00	-0.02	-0.02	-0.02	-0.01	0.01	0.01	0.01	0.01	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)*	(0.01)*	(0.01)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)*	(0.01)*	(0.01)*	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)
ysibling_r2	-0.01	-0.01	-0.01	-0.01	-0.00	-0.00	-0.00	-0.01	-0.01	-0.01	-0.01	-0.01	0.02	0.02	0.02	0.03	-0.02	-0.02	-0.02	-0.02	-0.05	-0.05	-0.05	-0.04	-0.03	-0.03	-0.03	-0.02	-0.01	-0.01	-0.01	-0.01	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.01	-0.01	-0.01	-0.01	-0.00	-0.00	-0.00	-0.01	-0.01	-0.01	-0.01	-0.01	0.02	0.02	0.02	0.03	-0.02	-0.02	-0.02	-0.02	-0.05	-0.05	-0.05	-0.04	-0.03	-0.03	-0.03	-0.02	-0.01	-0.01	-0.01	-0.01	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02
	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.03)*	(0.03)*	(0.03)*	(0.03)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.03)*	(0.03)*	(0.03)*	(0.03)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**	(0.01)**
fathlivh_r2	0.03	0.03	0.02	0.03	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.03	-0.08	-0.08	-0.08	-0.05	-0.07	-0.07	-0.08	-0.08	-0.03	-0.03	-0.04	-0.02	0.04	0.04	0.04	0.04	-0.02	-0.02	-0.03	-0.02	-0.03	-0.03	-0.03	-0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.03	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.03	-0.08	-0.08	-0.08	-0.05	-0.07	-0.07	-0.08	-0.08	-0.03	-0.03	-0.04	-0.02	0.04	0.04	0.04	0.04	-0.02	-0.02	-0.03	-0.02	-0.03	-0.03	-0.03	-0.02	0.02	0.02	0.02	0.03
	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.03)	(0.03)	(0.03)	(0.03)	(0.03)**	(0.03)**	(0.03)**	(0.03)*	(0.06)	(0.05)	(0.06)	(0.06)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.05)	(0.05)	(0.04)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)*	(0.01)*	(0.01)*	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.03)	(0.03)	(0.03)	(0.03)	(0.03)**	(0.03)**	(0.03)**	(0.03)*	(0.06)	(0.05)	(0.06)	(0.06)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.05)	(0.05)	(0.04)	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)*	(0.01)*	(0.01)*	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)
fathwout_r2	0.04	0.04	0.04	0.04	-0.01	-0.01	-0.00	0.00	0.02	0.02	0.03	0.04	0.06	0.06	0.06	0.03	0.14	0.14	0.14	0.14	0.08	0.08	0.08	0.07	-0.01	-0.01	-0.01	-0.04	0.08	0.08	0.08	0.07	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	-0.01	-0.01	-0.00	0.00	0.02	0.02	0.03	0.04	0.06	0.06	0.06	0.03	0.14	0.14	0.14	0.14	0.08	0.08	0.08	0.07	-0.01	-0.01	-0.01	-0.04	0.08	0.08	0.08	0.07	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03
	(0.03)	(0.03)	(0.03)	(0.03)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.06)	(0.06)	(0.06)	(0.07)	(0.05)**	(0.05)**	(0.05)**	(0.05)**	(0.06)	(0.06)	(0.05)	(0.06)	(0.04)	(0.04)	(0.04)	(0.04)	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.03)	(0.03)	(0.03)	(0.03)	(0.02)**	(0.02)*	(0.02)**	(0.02)	(0.03)	(0.03)	(0.03)	(0.03)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.06)	(0.06)	(0.06)	(0.07)	(0.05)**	(0.05)**	(0.05)**	(0.05)**	(0.06)	(0.06)	(0.05)	(0.06)	(0.04)	(0.04)	(0.04)	(0.04)	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.03)	(0.03)	(0.03)	(0.03)	(0.02)**	(0.02)*	(0.02)**	(0.02)
mothwout_r2	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	-0.01	-0.01	-0.01	-0.01	0.05	0.05	0.05	0.06	0.02	0.03	0.03	0.02	-0.00	-0.00	-0.00	0.01	-0.01	-0.01	-0.01	-0.00	0.01	0.01	0.00	0.01	-0.05	-0.05	-0.05	-0.06	-0.05	-0.05	-0.05	-0.05	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	-0.01	-0.01	-0.01	-0.01	0.05	0.05	0.05	0.06	0.02	0.03	0.03	0.02	-0.00	-0.00	-0.00	0.01	-0.01	-0.01	-0.01	-0.00	0.01	0.01	0.00	0.01	-0.05	-0.05	-0.05	-0.06	-0.05	-0.05	-0.05	-0.05
	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.05)	(0.05)	(0.05)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)***	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.02)**	(0.02)**	(0.02)**	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.04)	(0.04)	(0.04)	(0.04)	(0.05)	(0.05)	(0.05)	(0.05)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)***	(0.02)***	(0.02)***	(0.02)***	(0.02)**	(0.02)**	(0.02)**	(0.02)**
t_male_r2	0.39				0.04				0.08				0.90				0.11				0.03				0.08				-0.03				-0.04				-0.00				0.39				0.04				0.08				0.90				0.11				0.03				0.08				-0.03				-0.04				-0.00			
	(0.03)***				(0.01)***				(0.04)*				(0.07)***				(0.05)**				(0.07)				(0.06)				(0.02)				(0.02)*				(0.03)				(0.03)***				(0.01)***				(0.04)*				(0.07)***				(0.05)**				(0.07)				(0.06)				(0.02)				(0.02)*				(0.03)			
t_female	0.41				0.07				0.10				0.73				0.01				0.00				0.04				-0.01				-0.06				-0.03				0.41				0.07				0.10				0.73				0.01				0.00				0.04				-0.01				-0.06				-0.03			
	(0.04)***				(0.02)***				(0.02)***				(0.09)***				(0.07)				(0.06)				(0.05)				(0.03)				(0.03)*				(0.03)				(0.04)***				(0.02)***				(0.02)***				(0.09)***				(0.07)				(0.06)				(0.05)				(0.03)				(0.03)*				(0.03)			
o.pchome_r1			-																																								-																																					
																																																																																
t_pchome_r1			0.18				0.02				0.03				0.78				0.06				-0.02				0.05				-0.01				-0.04				0.00				0.18				0.02				0.03				0.78				0.06				-0.02				0.05				-0.01				-0.04				0.00	
			(0.03)***				(0.01)				(0.03)				(0.07)***				(0.07)				(0.07)				(0.07)				(0.03)				(0.03)				(0.02)				(0.03)***				(0.01)				(0.03)				(0.07)***				(0.07)				(0.07)				(0.07)				(0.03)				(0.03)				(0.02)	
t_npc			0.56				0.08				0.13				0.84				0.06				0.05				0.06				-0.02				-0.06				-0.03				0.56				0.08				0.13				0.84				0.06				0.05				0.06				-0.02				-0.06				-0.03	
			(0.02)***				(0.02)***				(0.04)***				(0.09)***				(0.06)				(0.06)				(0.04)				(0.03)				(0.03)**				(0.03)				(0.02)***				(0.02)***				(0.04)***				(0.09)***				(0.06)				(0.06)				(0.04)				(0.03)				(0.03)**				(0.03)	
bmavmr_r1				0.02				0.01				0.00				-0.41				-0.27				-0.18				-0.33				-0.13				-0.21				-0.18				0.02				0.01				0.00				-0.41				-0.27				-0.18				-0.33				-0.13				-0.21				-0.18
				(0.02)				(0.01)				(0.02)				(0.04)***				(0.06)***				(0.05)***				(0.05)***				(0.02)***				(0.02)***				(0.02)***				(0.02)				(0.01)				(0.02)				(0.04)***				(0.06)***				(0.05)***				(0.05)***				(0.02)***				(0.02)***				(0.02)***
t_bmavmr_r1				0.41				0.05				0.10				0.70				0.01				-0.01				0.14				0.00				-0.05				-0.01				0.41				0.05				0.10				0.70				0.01				-0.01				0.14				0.00				-0.05				-0.01
				(0.03)***				(0.02)***				(0.03)***				(0.06)***				(0.07)				(0.06)				(0.05)**				(0.03)				(0.02)*				(0.05)				(0.03)***				(0.02)***				(0.03)***				(0.06)***				(0.07)				(0.06)				(0.05)**				(0.03)				(0.02)*				(0.05)
t_amavmr_r1				0.40				0.06				0.07				0.95				0.13				0.03				-0.01				-0.05				-0.06				-0.03				0.40				0.06				0.07				0.95				0.13				0.03				-0.01				-0.05				-0.06				-0.03
				(0.04)***				(0.02)***				(0.03)*				(0.08)***				(0.10)				(0.07)				(0.05)				(0.03)				(0.03)*				(0.02)				(0.04)***				(0.02)***				(0.03)*				(0.08)***				(0.10)				(0.07)				(0.05)				(0.03)				(0.03)*				(0.02)
pcuweek_r1					0.07	0.07	0.05	0.08																																					0.07	0.07	0.05	0.08																																
					(0.02)***	(0.02)***	(0.02)**	(0.01)***																																					(0.02)***	(0.02)***	(0.02)**	(0.01)***																																
pcuyest_r1									0.10	0.10	0.08	0.10																																					0.10	0.10	0.08	0.10																												
									(0.02)***	(0.02)***	(0.02)***	(0.02)***																																					(0.02)***	(0.02)***	(0.02)***	(0.02)***																												
stpcotskill_r1																	0.27	0.27	0.26	0.25																																					0.27	0.27	0.26	0.25																				
																	(0.01)***	(0.02)***	(0.02)***	(0.01)***																																					(0.01)***	(0.02)***	(0.02)***	(0.01)***																				
stpcsrskill_r1																					0.31	0.31	0.28	0.30																																					0.31	0.31	0.28	0.30																
																					(0.02)***	(0.02)***	(0.02)***	(0.02)***																																					(0.02)***	(0.02)***	(0.02)***	(0.02)***																
straven_r1																									0.53	0.53	0.53	0.49																																					0.53	0.53	0.53	0.49												
																									(0.02)***	(0.02)***	(0.02)***	(0.03)***																																					(0.02)***	(0.02)***	(0.02)***	(0.03)***												
friendh_r1																													0.40	0.40	0.40	0.38																																					0.40	0.40	0.40	0.38								
																													(0.04)***	(0.04)***	(0.04)***	(0.04)***																																					(0.04)***	(0.04)***	(0.04)***	(0.04)***								
efforth_r1																																	0.49	0.49	0.49	0.42																																					0.49	0.49	0.49	0.42				
																																	(0.02)***	(0.02)***	(0.02)***	(0.02)***																																					(0.02)***	(0.02)***	(0.02)***	(0.02)***				
eduexpt_r1																																					0.49	0.49	0.49	0.43																																					0.49	0.49	0.49	0.43
																																					(0.02)***	(0.02)***	(0.02)***	(0.03)***																																					(0.02)***	(0.02)***	(0.02)***	(0.03)***
Constant	0.28	0.29	0.24	0.31	0.70	0.71	0.69	0.72	0.58	0.58	0.55	0.58	0.64	0.62	0.57	0.67	0.24	0.22	0.17	0.24	-0.33	-0.34	-0.45	-0.31	0.55	0.54	0.55	0.71	0.33	0.34	0.32	0.36	0.51	0.50	0.52	0.61	0.98	0.98	0.98	1.08	0.28	0.29	0.24	0.31	0.70	0.71	0.69	0.72	0.58	0.58	0.55	0.58	0.64	0.62	0.57	0.67	0.24	0.22	0.17	0.24	-0.33	-0.34	-0.45	-0.31	0.55	0.54	0.55	0.71	0.33	0.34	0.32	0.36	0.51	0.50	0.52	0.61	0.98	0.98	0.98	1.08
	(0.12)**	(0.12)**	(0.12)*	(0.12)**	(0.06)***	(0.06)***	(0.06)***	(0.06)***	(0.10)***	(0.10)***	(0.10)***	(0.11)***	(0.23)**	(0.23)**	(0.22)**	(0.24)**	(0.25)	(0.25)	(0.25)	(0.25)	(0.14)**	(0.14)**	(0.13)***	(0.14)**	(0.28)*	(0.28)*	(0.28)*	(0.28)**	(0.12)**	(0.12)**	(0.11)**	(0.12)**	(0.08)***	(0.08)***	(0.09)***	(0.08)***	(0.11)***	(0.11)***	(0.11)***	(0.11)***	(0.12)**	(0.12)**	(0.12)*	(0.12)**	(0.06)***	(0.06)***	(0.06)***	(0.06)***	(0.10)***	(0.10)***	(0.10)***	(0.11)***	(0.23)**	(0.23)**	(0.22)**	(0.24)**	(0.25)	(0.25)	(0.25)	(0.25)	(0.14)**	(0.14)**	(0.13)***	(0.14)**	(0.28)*	(0.28)*	(0.28)*	(0.28)**	(0.12)**	(0.12)**	(0.11)**	(0.12)**	(0.08)***	(0.08)***	(0.09)***	(0.08)***	(0.11)***	(0.11)***	(0.11)***	(0.11)***
																																																																																
Observations	2,851	2,851	2,851	2,700	2,791	2,791	2,791	2,641	2,851	2,851	2,851	2,700	2,737	2,737	2,737	2,596	2,851	2,851	2,851	2,700	2,851	2,851	2,851	2,700	2,670	2,670	2,670	2,542	2,786	2,786	2,786	2,638	2,787	2,787	2,787	2,640	2,781	2,781	2,781	2,633	2,851	2,851	2,851	2,700	2,791	2,791	2,791	2,641	2,851	2,851	2,851	2,700	2,737	2,737	2,737	2,596	2,851	2,851	2,851	2,700	2,851	2,851	2,851	2,700	2,670	2,670	2,670	2,542	2,786	2,786	2,786	2,638	2,787	2,787	2,787	2,640	2,781	2,781	2,781	2,633
R-squared	0.35	0.35	0.37	0.34	0.11	0.11	0.13	0.12	0.17	0.17	0.18	0.17	0.28	0.28	0.28	0.32	0.20	0.19	0.20	0.22	0.27	0.27	0.28	0.28	0.38	0.38	0.38	0.41	0.32	0.32	0.32	0.33	0.37	0.37	0.37	0.41	0.41	0.41	0.41	0.43	0.35	0.35	0.37	0.34	0.11	0.11	0.13	0.12	0.17	0.17	0.18	0.17	0.28	0.28	0.28	0.32	0.20	0.19	0.20	0.22	0.27	0.27	0.28	0.28	0.38	0.38	0.38	0.41	0.32	0.32	0.32	0.33	0.37	0.37	0.37	0.41	0.41	0.41	0.41	0.43
Robust standard errors in parentheses																																																																																
*** p<0.01, ** p<0.05, * p<0.1																																																																																
